,index,topic,perspective,index,topic_tar_combined_score,persp_tar_combined_score,topic_inds_combined_score,persp_inds_combined_score,index,topic_tar_norm_syn_score,persp_tar_norm_syn_score,topic_inds_norm_syn_score,persp_inds_norm_syn_score,index,topic_tar_norm_cosine_score,persp_tar_norm_cosine_score,topic_inds_norm_cosine_score,persp_inds_norm_cosine_score
46,0,Celebrities should be exempt from National Service (in South Korea),national service helps equality ,0,service,service,"[6, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,service,service,"[6, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,south korea,equality,"[8, 9, -1, -1, -1]","[3, -1, -1, -1, -1]"
47,0,Celebrities should be exempt from National Service (in South Korea),"Celebrities, like athletes, enhance the nation’s image and generate revenue",0,south korea,nation ’ s image,"[8, 9, -1, -1, -1]","[5, 6, 7, 8, -1]",0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,south korea,nation ’ s image,"[8, 9, -1, -1, -1]","[5, 6, 7, 8, -1]"
48,0,Celebrities should be exempt from National Service (in South Korea),The celebrities bring money and publicity to the country.,0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,south korea,country,"[8, 9, -1, -1, -1]","[8, -1, -1, -1, -1]"
49,0,Celebrities should be exempt from National Service (in South Korea),celebrities enhance the nations image,0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,celebrities,celebrities,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,south korea,nations image,"[8, 9, -1, -1, -1]","[3, 4, -1, -1, -1]"
50,0,Celebrities should be exempt from National Service (in South Korea),celebs help the nation,0,service,nation,"[6, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,service,nation,"[6, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,service,nation,"[6, -1, -1, -1, -1]","[3, -1, -1, -1, -1]"
51,0,Trade is better than aid,Trade provides developing countries with an important basis for their own improvement.,0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,countries,"[4, -1, -1, -1, -1]","[3, -1, -1, -1, -1]"
52,0,Trade is better than aid,Trade allows the other country an opportunity to grow.,0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,country,"[4, -1, -1, -1, -1]","[4, -1, -1, -1, -1]"
53,0,Trade is better than aid,Trade  provides the opportunity to advance oneself to the developing country.,0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,country,"[4, -1, -1, -1, -1]","[10, -1, -1, -1, -1]"
54,0,Trade is better than aid,Trade requires infrastructure,0,aid,infrastructure,"[4, -1, -1, -1, -1]","[2, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,infrastructure,"[4, -1, -1, -1, -1]","[2, -1, -1, -1, -1]"
55,0,Trade is better than aid,Trade can replace aid with the proper infrastructure.,0,aid,aid,"[4, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,infrastructure,"[4, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
56,0,Trade is better than aid,Trade is a long-term basis for international co-operation.,0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,co-operation,"[4, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
57,0,Trade is better than aid,Trade works to form a long-term working relationship.,0,trade,trade works,"[0, -1, -1, -1, -1]","[0, 1, -1, -1, -1]",0,trade,trade works,"[0, -1, -1, -1, -1]","[0, 1, -1, -1, -1]",0,trade,trade works,"[0, -1, -1, -1, -1]","[0, 1, -1, -1, -1]"
58,0,Trade is better than aid,Trade works to strengthen bonds between countries in the long term.,0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,bonds,"[4, -1, -1, -1, -1]","[4, -1, -1, -1, -1]"
59,0,Trade is better than aid,Trade may not help those most in need.,0,aid,need,"[4, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,need,"[4, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
60,0,Trade is better than aid,Trade may not provide immediate relief.,0,aid,relief,"[4, -1, -1, -1, -1]","[5, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,relief,"[4, -1, -1, -1, -1]","[5, -1, -1, -1, -1]"
61,0,Trade is better than aid,Trade does not allocate resources effectively,0,aid,resources,"[4, -1, -1, -1, -1]","[4, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,aid,resources,"[4, -1, -1, -1, -1]","[4, -1, -1, -1, -1]"
62,0,Trade is better than aid,Resources are best allocated with aid instead of free trade.,0,aid,aid,"[4, -1, -1, -1, -1]","[5, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[9, -1, -1, -1, -1]",0,aid,trade,"[4, -1, -1, -1, -1]","[9, -1, -1, -1, -1]"
63,0,Trade is better than aid,Aid uses resources more efficiently than free trade.,0,trade,trade,"[0, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,aid,trade,"[4, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
64,0,Trade is better than aid,Free trade is dangerous,0,trade,trade,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,aid,trade,"[4, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
65,0,Trade is better than aid,Free trade is more dangerous than aid.,0,trade,trade,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,aid,trade,"[4, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
66,0,Trade is better than aid,Aid is less dangerous than free trade.,0,aid,trade,"[4, -1, -1, -1, -1]","[6, -1, -1, -1, -1]",0,trade,trade,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]",0,aid,trade,"[4, -1, -1, -1, -1]","[6, -1, -1, -1, -1]"
67,0,Trade is better than aid,Systemic aid' is detrimental to African society,0,aid,aid,"[4, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,aid,aid,"[4, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,aid,aid,"[4, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
68,0,Trade is better than aid,Despite attempts at aid it has only been detrimental to Africa.,0,aid,aid,"[4, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,aid,aid,"[4, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,aid,aid,"[4, -1, -1, -1, -1]","[3, -1, -1, -1, -1]"
69,0,Smoking should further be restricted,Restrictions reach out to the general population,0,smoking,population,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]",0,smoking,population,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]",0,smoking,population,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]"
70,0,Smoking should further be restricted,Restrictions benefit the health of third parties,0,smoking,parties,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]",0,smoking,parties,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]",0,smoking,parties,"[0, -1, -1, -1, -1]","[6, -1, -1, -1, -1]"
71,0,Smoking should further be restricted,Additional restrictions on smoking will only help the health and welfare of third parties.,0,smoking,smoking,"[0, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,smoking,smoking,"[0, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,smoking,smoking,"[0, -1, -1, -1, -1]","[3, -1, -1, -1, -1]"
72,0,Smoking should further be restricted,Smoking restrictions aid in second hand smoke effects.,0,smoking,hand smoke effects,"[0, -1, -1, -1, -1]","[5, 6, 7, -1, -1]",0,smoking,hand smoke effects,"[0, -1, -1, -1, -1]","[5, 6, 7, -1, -1]",0,smoking,restrictions aid,"[0, -1, -1, -1, -1]","[1, 2, -1, -1, -1]"
73,0,Smoking should further be restricted,Democratic systems should educate on smoking rather than restrict it,0,smoking,systems,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,smoking,systems,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,smoking,systems,"[0, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
74,0,Smoking should further be restricted,Education is a better tactic in the war on smoking.,0,smoking,smoking,"[0, -1, -1, -1, -1]","[9, -1, -1, -1, -1]",0,smoking,smoking,"[0, -1, -1, -1, -1]","[9, -1, -1, -1, -1]",0,smoking,smoking,"[0, -1, -1, -1, -1]","[9, -1, -1, -1, -1]"
75,0,Proportional representation is necessary.,PR produces fairer results,0,representation,results,"[1, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,representation,results,"[1, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,representation,pr,"[1, -1, -1, -1, -1]","[0, -1, -1, -1, -1]"
76,0,Proportional representation is necessary.,all representation should be balanced,0,representation,representation,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,representation,representation,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,representation,representation,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
77,0,Proportional representation is necessary.,everyone involved should have fair and equal representation,0,representation,representation,"[1, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,representation,representation,"[1, -1, -1, -1, -1]","[7, -1, -1, -1, -1]",0,representation,representation,"[1, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
78,0,Proportional representation is necessary.,PR increases political engagement which benefits society.,0,representation,engagement,"[1, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,representation,benefits society,"[1, -1, -1, -1, -1]","[5, 6, -1, -1, -1]",0,representation,engagement,"[1, -1, -1, -1, -1]","[3, -1, -1, -1, -1]"
79,0,Proportional representation is necessary.,people are more involved when things are more fair,0,representation,things,"[1, -1, -1, -1, -1]","[5, -1, -1, -1, -1]",0,representation,things,"[1, -1, -1, -1, -1]","[5, -1, -1, -1, -1]",0,representation,things,"[1, -1, -1, -1, -1]","[5, -1, -1, -1, -1]"
80,0,Proportional representation is necessary.,balanced representation is better for everyone,0,representation,representation,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,representation,representation,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,representation,representation,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
81,0,Proportional representation is necessary.,PR leads to weaker government.,0,representation,pr,"[1, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,representation,pr,"[1, -1, -1, -1, -1]","[0, -1, -1, -1, -1]",0,representation,pr,"[1, -1, -1, -1, -1]","[0, -1, -1, -1, -1]"
82,0,Proportional representation is necessary.,more influence makes more distractions from neccessity,0,representation,influence,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,representation,influence,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]",0,representation,influence,"[1, -1, -1, -1, -1]","[1, -1, -1, -1, -1]"
83,0,Proportional representation is necessary.,Extremist parties will rise under PR. ,0,representation,extremist parties,"[1, -1, -1, -1, -1]","[0, 1, -1, -1, -1]",0,representation,extremist parties,"[1, -1, -1, -1, -1]","[0, 1, -1, -1, -1]",0,representation,extremist parties,"[1, -1, -1, -1, -1]","[0, 1, -1, -1, -1]"
84,0,Proportional representation is necessary.,The link between constituencies and Members of Parliament is important.,0,representation,constituencies,"[1, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,representation,constituencies,"[1, -1, -1, -1, -1]","[3, -1, -1, -1, -1]",0,representation,parliament,"[1, -1, -1, -1, -1]","[7, -1, -1, -1, -1]"
